key,english,german,japanese
promoters|p-gl_t,Guest Lists &amp; Tables,Gaestelisten &amp; Tische,
promoters|p-events,Events,Events,
promoters|p-venues,Venues,Clubs,
promoters|p-biography,Biography,Biographie,
promoters|p-friend_activity,Friend Activity,Aktivitaet deiner Freunde,
promoters|p-friend_news_item,<%= u_first_name %> has joined <%= pgla_name %> at <%= tv_name %>,<%= u_first_name %> ist <%= pgla_name %> at <%= tv_name %> beigetreten.,
promoters|p-venue_banner,Venue Banner,Club Banner,
promoters|p-login_msg1,Log in with Facebook to see which of your friends are partying with <%=promoter_first_name%>,Anmelden mit Facebook um zu sehen mit wem deine Freunde feiern,
promoters|p-ranking_msg,<%=promoter_full_name%>'s ranking by <strong>your</strong> ClubbingOwl friends.,<%=promoter_full_name%>'s Bewertung bei <strong>deinen</strong> ClubbingOwl Freunden.,
promoters|p-events_coming_soon,This feature is coming soon!,dieses Feature kommt bald!,
promoters|p-info_join,Info/Join,Information/ Beitreten,
promoters|p-gl_join_msg,"You are joining <%=promoter_u_full_name%>'s guest list ""<strong><%=guest_list_pgla_name%></strong>"" at <a href=""<%=central_front_link_base%>venues/<%=promoter_team_c_url_identifier%>/<%=guest_list_tv_name_l%>/""><%=guest_list_tv_name%></a>","Du tretest der Gaesteliste ""<strong><%=guest_list_pgla_name%></strong>"" von <%=promoter_u_full_name%>'  im <a href=""<%=central_front_link_base%>venues/<%=promoter_team_c_url_identifier%>/<%=guest_list_tv_name_l%>/""><%=guest_list_tv_name%></a> bei.",
promoters|p-login_msg2_overlay,You must log into ClubbingOwl with Facebook to join a guest list or event.,Du must dich bei Facebook anmelden um einer Gaesteliste bei zu treten.,
,,,
app_data|ad-description,ClubbingOwl is a Facebook application that makes it easy to join guest-lists and reserve tables at your favorite venues.,ClubbingOwl ist eine Facebook App die es dir und deinen Freunden leicht macht auf die Gaestelisten der besten Clubs zu kommen! Fuer einen unvergesslichen Abend koennt ihr natuerlich auch einen Tisch buchen!,
app_data|ad-vc_team,The ClubbingOwl Team,Das ClubbingOwl Team,
app_data|ad-tos,Terms of Service,Nutzungsbedingungen,
app_data|ad-friends,Friends,Freunde,
app_data|ad-friends_desc,<%=friend_name%> is on ClubbingOwl!,<%=friend_name%> ist ClubbingOwl beigetreten!,
app_data|ad-promoters_home_title_city,Club promoters in <%=location%>,Club Promoter in  <%=location%>,
